Gene	Vector-1	Vector-2	Vector-3	CEP120-1	CEP120-2	CEP120-3
LOC100506869	0	0	0	0	0	0
LOC102724604	0	0	0	0	0	0
LOC102724601	1	2	0	4	1	1
CHMP1B	1532	1754	1604	1753	1991	1743
LOC107986703	0	0	8	0	0	0
LINC01634	0	2	0	0	0	0
TCOF1	4922	4287	4149	5548	5207	5516
SPPL3	1859	1982	1905	2129	2150	2267
OPA3	789	832	619	916	1117	860
OPA1	4498	4130	4245	4950	5216	5074
RNF219-AS1	0	1	0	1	0	0
LOC105369748	6	11	17	24	5	16
ITGA8	0	0	0	0	0	0
ITGA9	0	0	0	0	1	1
ITGA1	1073	974	994	1089	1188	1150
ITGA2	317	250	339	329	374	355
ITGA3	4925	4879	4408	5679	6206	6320
ITGA4	1	0	0	0	0	0
ITGA5	6478	6706	6417	7387	8731	8351
ITGA6	2536	2466	2507	2892	2896	3125
ITGA7	35	20	28	9	18	18
TRHR	0	0	1	0	4	4
UFSP1	54	95	73	83	59	76
UFSP2	314	295	345	370	383	404
LOC101928371	0	1	1	1	1	4
LOC101928372	0	0	0	0	0	0
FAM212A	8	18	6	12	23	20
CHST9	0	0	0	0	0	0
CHST8	0	0	0	0	0	0
CHST1	11	0	16	1	10	7
CHST3	2544	2182	2411	3004	3051	2853
CHST2	2	4	10	16	11	25
CHST5	0	1	0	5	1	0
CHST4	0	0	4	0	0	0
CHST7	412	517	414	442	492	547
CHST6	89	78	63	101	109	104
ITGAX	9	6	2	1	6	2
BCL2A1	3	0	2	1	0	0
ITGAV	8593	8047	8409	9673	9360	10710
ITGAL	0	0	0	0	9	1
ITGAM	5	9	7	7	21	9
ITGAD	0	3	0	0	8	1
ITGAE	922	1018	890	935	936	1121
LOC285804	0	0	0	0	0	0
IGF2R	15738	14724	14174	17856	20454	18435
SLC36A4	1100	1002	1030	1125	1171	1354
SLC36A3	0	0	0	0	0	0
CKS1B	3384	3924	3320	3621	3594	4250
SLC36A1	655	527	511	715	753	638
ARTN	72	79	59	90	88	87
ART1	0	0	3	2	0	2
ART3	1	0	1	1	1	1
ART5	1	0	2	0	1	0
ART4	0	0	8	0	0	1
CRTAM	4	1	5	0	0	1
CADPS2	0	1	0	0	0	0
RLF	3842	3175	3781	4273	4122	4525
USP17L30	0	0	0	0	0	0
CRTAP	13507	14383	12991	15219	17258	16824
MDH1	5532	5514	5439	5439	5505	6569
HPYR1	0	0	0	0	0	0
CPEB4	7820	6780	7814	9327	9215	9504
CPEB1	2	3	8	10	9	5
CPEB3	730	674	768	847	740	999
CPEB2	914	755	961	1052	902	1164
SRBD1	702	662	722	784	807	818
ABAT	14	4	0	3	6	2
POU5F1B	1	4	4	6	4	6
LOC284865	0	0	0	0	0	1
PHOX2A	1	0	0	0	0	0
PHOX2B	0	0	2	0	0	2
NLRP14	3	5	10	14	6	7
UPK2	0	0	0	4	1	2
CFH	2	0	2	14	2	1
CFI	0	0	0	0	0	0
ANKFY1	2750	2476	2318	3185	3375	2914
CFB	4	1	0	1	8	5
CFP	1	3	7	1	1	0
RNU5B-1	1	0	0	0	0	0
AAAS	1822	2001	1769	2134	2282	2246
SIDT1	1	0	4	0	1	0
SIDT2	743	702	523	829	888	818
SNORD115-7	0	0	0	0	0	0
SAGE1	0	0	0	0	0	0
LVCAT8	0	0	0	0	1	4
UFD1	1201	1164	1052	1118	1141	1235
LVCAT5	0	0	0	0	0	1
LVCAT1	0	0	0	1	0	0
AAGAB	2026	2357	2117	2387	2306	2656
C4orf19	0	0	0	0	0	0
SLC7A6OS	318	240	247	293	272	368
C4orf17	1	0	0	0	0	0
RFPL4AL1	0	0	0	0	0	0
ABCE1	2844	2549	2806	3156	2802	3682
TEN1-CDK3	19	15	21	45	41	26
ZNF197-AS1	2	1	0	0	0	0
MKRN2OS	20	9	17	47	58	11
MSL3P1	21	6	2	2	12	6
MDC1-AS1	0	0	0	0	0	0
TBC1D8-AS1	4	1	4	0	7	2
ZNF117	93	71	53	87	96	88
ZNF114	174	178	218	180	184	207
ZNF112	84	93	57	90	112	71
SEZ6L	0	0	0	0	0	0
MIR6780B	0	0	0	0	0	0
MIR6780A	0	0	0	0	0	0
PRKAR2A	5620	6056	5211	6341	7045	6589
PRKAR2B	0	1	1	0	1	4
MAGT1	7605	9460	7833	8533	9742	10146
MIR6862-1	0	0	0	0	0	0
TMEM200B	4	1	0	4	2	10
ITGA2B	36	60	40	59	61	42
PHACTR4	2825	2742	2785	3241	3500	3357
PHACTR1	18	8	20	16	11	25
OR2K2	0	0	0	0	0	0
PHACTR3	1	4	1	0	0	0
PHACTR2	846	810	839	1021	1154	923
KRTAP2-3	0	0	0	0	0	0
KRTAP2-2	0	0	0	0	0	0
KRTAP2-1	0	0	0	0	0	0
KRTAP2-4	0	0	0	0	0	0
MIR4708	0	0	0	0	0	0
MIR4709	5997	6252	6236	6600	6468	8077
MIR4704	0	0	0	0	0	0
MIR4705	0	0	0	0	0	0
MIR4706	0	0	0	0	0	2
MIR4707	381	428	376	347	391	421
MIR4700	1139	1366	1139	1477	1546	1372
MIR4701	0	0	0	1	0	0
MIR4703	0	0	0	0	0	0
SBF1P1	0	0	0	0	0	0
LOC101928035	4	0	3	0	0	0
EPN2-AS1	0	0	0	0	0	0
NR1D1	568	571	576	650	667	578
NR1D2	3237	3200	2800	3476	3907	3379
